url|status|title|title_len|meta_desc|desc_len|canonical|h1_count|h1_text|word_count|has_jsonld|jsonld_types|img_count|img_no_alt|noindex
https://immigracan.com.br/|200|Como Morar no Canadá em 2026 – Imigração para Brasileiros|62|Descubra como morar no Canadá em 2026: vistos, Express Entry, PNP e ferramentas gratuitas para brasileiros calcularem sua pontuação de imigração.|150|https://immigracan.com.br|1||411|3|Answer,FAQPage,Offer,Question,SoftwareApplication,WebSite,|0|0|0
https://immigracan.com.br/quiz|200|Quiz Imigração Canadá 2026 – Descubra Sua Elegibilidade Grátis|68|Faça o quiz gratuito em 5 minutos e descubra para quais programas de imigração canadense você se qualifica. Sem cadastro, resultado instantâneo.|149|https://immigracan.com.br/quiz|1||208|1|Quiz,|0|0|0
https://immigracan.com.br/calculadora-crs|200|Calculadora CRS Canadá 2026 – Simule sua Pontuação Grátis|63|Calcule sua pontuação no Express Entry em minutos. Calculadora CRS gratuita e atualizada para 2026 — descubra se você se qualifica para o Canadá.|151|https://immigracan.com.br/calculadora-crs|1||222|0||0|0|0
https://immigracan.com.br/conversor-clb|200|Conversor CLB 2026 – CELPIP e IELTS to CLB Calculator|55|Converta suas notas de CELPIP e IELTS para o nível CLB do Canadá. Tabela e calculadora de conversão gratuita e atualizada para 2026.|135|https://immigracan.com.br/conversor-clb|1||240|0||0|0|0
https://immigracan.com.br/calculadora-proof-of-funds|200|Calculadora Proof of Funds 2026 – Quanto Comprovar no Express Entry|69|Calcule quantos CAD você precisa comprovar como Proof of Funds no Express Entry em 2026. Valor por tamanho de família, em CAD e reais, direto do IRCC.|152|https://immigracan.com.br/calculadora-proof-of-funds|1||205|1|Offer,WebApplication,|0|0|0
https://immigracan.com.br/calculadora-salario-liquido|200|Calculadora Salário Líquido Canadá 2026 – Quanto Sobra do Bruto|68|Calcule seu salário líquido no Canadá em 2026. Após impostos federais, provinciais, CPP e EI — em CAD e reais. Calculadora gratuita atualizada para 10 províncias.|169|https://immigracan.com.br/calculadora-salario-liquido|1||227|1|Offer,WebApplication,|0|0|0
https://immigracan.com.br/estimador-de-prazo|200|Estimador de Prazo IRCC 2026 – Quanto Demora Cada Programa|60|Estime quanto tempo cada programa de imigração canadense demora em 2026: Express Entry, PNP, Family Sponsorship, Study Permit, PGWP. Prazos oficiais IRCC por etapa.|166|https://immigracan.com.br/estimador-de-prazo|1||212|1|Offer,WebApplication,|0|0|0
https://immigracan.com.br/simulador-cenarios|200|Simulador de Cenários CRS — Quanto Sobe Sua Pontuação? / ImmigraCan|72|Simule quanto sua pontuação CRS do Express Entry aumenta com cada melhoria: inglês mais alto, pós-graduação no Canadá, experiência canadense, francês ou PNP.|166|https://immigracan.com.br/simulador-cenarios|1||220|0||0|0|0
https://immigracan.com.br/express-entry/draws|200|Express Entry Draws 2026 — Todos os Resultados e CRS Mínimo|62|Histórico completo dos draws do Express Entry canadense em 2026. CRS mínimo, ITAs emitidos e categorias por rodada. Atualizado automaticamente a cada 12h.|156|https://immigracan.com.br/express-entry/draws|1||218|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/express-entry/draws/2026|200|Express Entry Draws 2026 — Todos os Resultados e CRS Mínimo|62|Histórico completo dos draws do Express Entry canadense em 2026: CRS mínimo, ITAs emitidos por rodada, categorias e estatísticas anuais. Arquivo pesquisável.|161|https://immigracan.com.br/express-entry/draws/2026|1||159|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/express-entry/draws/2025|200|Express Entry Draws 2025 — Todos os Resultados e CRS Mínimo|62|Histórico completo dos draws do Express Entry canadense em 2025: CRS mínimo, ITAs emitidos por rodada, categorias e estatísticas anuais. Arquivo pesquisável.|161|https://immigracan.com.br/express-entry/draws/2025|1||159|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/express-entry/draws/2024|200|Express Entry Draws 2024 — Todos os Resultados e CRS Mínimo|62|Histórico completo dos draws do Express Entry canadense em 2024: CRS mínimo, ITAs emitidos por rodada, categorias e estatísticas anuais. Arquivo pesquisável.|161|https://immigracan.com.br/express-entry/draws/2024|1||159|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/express-entry/draws/2023|200|Express Entry Draws 2023 — Todos os Resultados e CRS Mínimo|62|Histórico completo dos draws do Express Entry canadense em 2023: CRS mínimo, ITAs emitidos por rodada, categorias e estatísticas anuais. Arquivo pesquisável.|161|https://immigracan.com.br/express-entry/draws/2023|1||159|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/dados/brasileiros-express-entry-2026|200|Perfil dos Brasileiros no Express Entry 2026 — Dados Originais|64|Estudo original ImmigraCan: 4.053 brasileiros estimados receberam ITA em 2026. CRS médio 517, top províncias, top NOCs, distribuição por CLB. Dataset livre.|160|https://immigracan.com.br/dados/brasileiros-express-entry-2026|1||214|1|Dataset,Organization,|0|0|0
https://immigracan.com.br/historico-draws|200|Histórico de Draws Express Entry 2025-2026 — CRS Mínimo por Rodada / ImmigraCan|83|Veja todos os draws do Express Entry in 2025 e 2026: CRS mínimo, número de convites e tipo de draw. Receba alertas por email quando sair novo draw.|149|https://immigracan.com.br/historico-draws|1||239|0||0|0|0
https://immigracan.com.br/buscador-noc|200|Buscador de Código NOC/TEER — Encontre Sua Ocupação Canadense / ImmigraCan|79|Encontre o código NOC 2021 e nível TEER da sua profissão para o Express Entry. Veja elegibilidade nos programas FSW, CEC, STEM, Healthcare e PNPs.|149|https://immigracan.com.br/buscador-noc|1||216|0||0|0|0
https://immigracan.com.br/checklist-documentos|200|Checklist de Documentos para Imigração ao Canadá por Programa / ImmigraCan|77|Lista completa e interativa de documentos necessários para cada programa de imigração canadense: Express Entry, PNP, PGWP, patrocínio familiar e mais.|154|https://immigracan.com.br/checklist-documentos|1||235|0||0|0|0
https://immigracan.com.br/custo-de-vida|200|Custo de Vida no Canadá 2026: Compare Cidades (em Reais)|57|Compare o custo de vida em 15+ cidades canadenses em 2026. Aluguel, mercado, transporte e salário médio em CAD e reais. Descubra a melhor cidade para você.|158|https://immigracan.com.br/custo-de-vida|1||263|0||0|0|0
https://immigracan.com.br/imigrar-como|200|Como Imigrar para o Canadá por Profissão 2026: Guia por Ocupação|68|Guia completo por profissão: como eletricistas, enfermeiros, devs, motoristas e mais 40+ ocupações podem imigrar ao Canadá em 2026. NOC, salário, licença.|160|https://immigracan.com.br/imigrar-como|1||451|0||0|0|0
